IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,0.0004,,,,,,0.000 4,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,1-4 years,AGE1-4,,,,,,,0.0004,,,,,,0.000 4,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,0.0004,,,,,,0.000 4,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,0.0004,,,,,,0.000 4,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0005,,,,,,0.000 5,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,1-4 years,AGE1-4,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,MLE,Age Group,1-4 years,AGE1-4,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,MLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,30-34 years,AGE30-34,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,MLE,Age Group,1-4 years,AGE1-4,,,,,,,0.0005,,,,,,0.000 5,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0006,,,,,,0.000 6,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0006,,,,,,0.000 6,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,FMLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0006,,,,,,0.000 6,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0006,,,,,,0.000 6,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,30-34 years,AGE30-34,,,,,,,0.0006,,,,,,0.000 6,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0006,,,,,,0.000 6,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,0.0007,,,,,,0.000 7,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,MLE,Age Group,20-24 years,AGE20-24,,,,,,,0.0007,,,,,,0.000 7,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,FMLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0007,,,,,,0.000 7,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0007,,,,,,0.000 7,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,MLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0007,,,,,,0.000 7,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,0.0008,,,,,,0.000 8,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0008,,,,,,0.000 8,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Male,MLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0008,,,,,,0.000 8,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0008,,,,,,0.000 8,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0008,,,,,,0.000 8,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,35-39 years,AGE35-39,,,,,,,0.0008,,,,,,0.000 8,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,30-34 years,AGE30-34,,,,,,,0.0009,,,,,,0.000 9,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0009,,,,,,0.000 9,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,35-39 years,AGE35-39,,,,,,,0.0009,,,,,,0.000 9,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,MLE,Age Group,20-24 years,AGE20-24,,,,,,,0.0009,,,,,,0.000 9,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,0.001,,,,,,0.001,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,30-34 years,AGE30-34,,,,,,,0.001,,,,,,0.001,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,0.001,,,,,,0.001,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Male,MLE,Age Group,20-24 years,AGE20-24,,,,,,,0.001,,,,,,0.001,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,35-39 years,AGE35-39,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,FMLE,Age Group,30-34 years,AGE30-34,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,MLE,Age Group,1-4 years,AGE1-4,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,MLE,Age Group,20-24 years,AGE20-24,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,40-44 years,AGE40-44,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,MLE,Age Group,25-29 years,AGE25-29,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,FMLE,Age Group,30-34 years,AGE30-34,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,40-44 years,AGE40-44,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,MLE,Age Group,25-29 years,AGE25-29,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,MLE,Age Group,30-34 years,AGE30-34,,,,,,,0.001,,,,,,0.001,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,1-4 years,AGE1-4,,,,,,,0.002,,,,,,0.002,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,35-39 years,AGE35-39,,,,,,,0.002,,,,,,0.002,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Female,FMLE,Age Group,40-44 years,AGE40-44,,,,,,,0.002,,,,,,0.002,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Male,MLE,Age Group,1-4 years,AGE1-4,,,,,,,0.002,,,,,,0.002,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Male,MLE,Age Group,25-29 years,AGE25-29,,,,,,,0.002,,,,,,0.002,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Male,MLE,Age Group,30-34 years,AGE30-34,,,,,,,0.002,,,,,,0.002,,,EN,2022-11-16T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,FMLE,Age Group,5-9 years,AGE5-9,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,MLE,Age Group,20-24 years,AGE20-24,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,MLE,Age Group,5-9 years,AGE5-9,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,40-44 years,AGE40-44,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,45-49 years,AGE45-49,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,MLE,Age Group,20-24 years,AGE20-24,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,MLE,Age Group,25-29 years,AGE25-29,,,,,,,0.002,,,,,,0.002,,,EN,2020-12-05T23:00:00.000Z
